temperature,pressure,altitude,numberDensity
0.1650024E+003, 0.9845630E-003, 0.1501088E+03, 0.4321855E+017
0.1650020E+003, 0.9754284E-003, 0.1503263E+03, 0.4281767E+017
0.1650016E+003, 0.9663956E-003, 0.1505438E+03, 0.4242128E+017
0.1650012E+003, 0.9574627E-003, 0.1507614E+03, 0.4202924E+017
0.1650010E+003, 0.9486279E-003, 0.1509789E+03, 0.4164149E+017
0.1650008E+003, 0.9398893E-003, 0.1511964E+03, 0.4125795E+017
0.1650005E+003, 0.9312455E-003, 0.1514140E+03, 0.4087857E+017
0.1650004E+003, 0.9226946E-003, 0.1516315E+03, 0.4050326E+017
0.1650002E+003, 0.9142353E-003, 0.1518490E+03, 0.4013196E+017
0.1650001E+003, 0.9058660E-003, 0.1520666E+03, 0.3976461E+017
0.1650000E+003, 0.8975853E-003, 0.1522841E+03, 0.3940113E+017
0.1649999E+003, 0.8893918E-003, 0.1525016E+03, 0.3904149E+017
0.1649998E+003, 0.8812842E-003, 0.1527192E+03, 0.3868560E+017
0.1649998E+003, 0.8732612E-003, 0.1529367E+03, 0.3833343E+017
0.1649998E+003, 0.8653215E-003, 0.1531542E+03, 0.3798491E+017
0.1649997E+003, 0.8574640E-003, 0.1533718E+03, 0.3764000E+017
0.1649997E+003, 0.8496875E-003, 0.1535893E+03, 0.3729864E+017
0.1649997E+003, 0.8419909E-003, 0.1538068E+03, 0.3696078E+017
0.1649997E+003, 0.8343730E-003, 0.1540244E+03, 0.3662639E+017
0.1649997E+003, 0.8268328E-003, 0.1542419E+03, 0.3629540E+017
0.1649996E+003, 0.8193692E-003, 0.1544594E+03, 0.3596777E+017
0.1649996E+003, 0.8119813E-003, 0.1546770E+03, 0.3564346E+017
0.1649997E+003, 0.8046680E-003, 0.1548945E+03, 0.3532243E+017
0.1649997E+003, 0.7974283E-003, 0.1551120E+03, 0.3500463E+017
0.1649997E+003, 0.7902614E-003, 0.1553296E+03, 0.3469002E+017
0.1649997E+003, 0.7831663E-003, 0.1555471E+03, 0.3437857E+017
0.1649997E+003, 0.7761420E-003, 0.1557646E+03, 0.3407022E+017
0.1649997E+003, 0.7691878E-003, 0.1559822E+03, 0.3376495E+017
0.1649997E+003, 0.7623027E-003, 0.1561997E+03, 0.3346272E+017
0.1649997E+003, 0.7554859E-003, 0.1564172E+03, 0.3316348E+017
0.1649997E+003, 0.7487366E-003, 0.1566348E+03, 0.3286720E+017
0.1649997E+003, 0.7420539E-003, 0.1568523E+03, 0.3257385E+017
